title,model,quantity,stock
Womens Luxury Shearling Jacket Black/ Blk : Alayna,P-47,37,50
Womens Luxury Shearling Jacket Tan: Alayna,P-47,13,15
Womens Short Leather Blazer Jacket Black : Ballina,1696,28,6
Womens Short Leather Blazer Jacket R/Brown : Ballina,1696,31,55
Womens Tab Small Zip Top Leather Cross Body Bag Blue,TAB,11,72
Womens Tab Small Zip Top Leather Cross Body Bag Green,TAB,12,57
Womens Tab Small Zip Top Leather Cross Body Bag Military Green,TAB,6,10
Womens Tab Small Zip Top Leather Cross Body Bag Orange,TAB,9,10
Womens Tab Small Zip Top Leather Cross Body Bag Slate Blue,TAB,22,51
Womens Tab Small Zip Top Leather Cross Body Bag Tan,TAB,34,30
Woven Classic Large Leather Vintage Crossbody Bag Taupe :  D-72,D-72,5,12
Zip And Stitch Detail Leather Gloves Shiraz : 373,373,10,6
Zip Top Leather Cross Body Bag Navy:  Ela 1498,ELA 1498,14,7
