# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240131
# End date: 20240227
Landing page,Sessions,Users,New users,Engagement rate,Bounce rate,Average engagement time per session,Conversions,Total revenue
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-tan-cb-3-63014-p7229/s21581,122,117,103,0.7377049180327869,0.26229508196721313,68.02459016393442,0,0
/ladies-c3/long-length-sheepskin-coat-black-brissa-3581-p5740/s17719,121,110,80,0.6115702479338843,0.3884297520661157,42.00826446280992,0,0
/map/leather-company-london,121,111,90,0.743801652892562,0.256198347107438,66.89256198347107,0,0
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231/s14952,121,108,87,0.6446280991735537,0.35537190082644626,79.38842975206612,1,129
/ladies-c3/leather-three-section-cross-body-bag-tan-63789-p6507/s19679,120,105,87,0.5666666666666667,0.43333333333333335,31.433333333333334,0,0
/map,119,95,61,0.40336134453781514,0.5966386554621849,62.294117647058826,0,0
/ladies-c3/leather-jackets-c9/blazer-styles-c79/womens-short-leather-blazer-jacket-black-ballina-p3272/s11852,118,111,91,0.6440677966101694,0.3559322033898305,42.1271186440678,1,53.99
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18976,118,106,87,0.652542372881356,0.3474576271186441,61.144067796610166,2,105.98
/sheepskin-fur-c5/ashwood-single-australian-sheepskin-rug-mink-p4385/s15190,118,111,90,0.6101694915254238,0.3898305084745763,40.38135593220339,1,117
/ladies-c3/ladies-waistcoats-c47/fitted-leather-gilet-with-faux-fur-collar-brown-snu-cumbria-p1627/s7750,116,110,102,0.4827586206896552,0.5172413793103449,19.525862068965516,0,0
/handbags-c6/ashwood-c30/vegetable-tanned-leather-bag-black-v-22-p3830/s13911,115,80,53,0.4260869565217391,0.5739130434782609,15.808695652173913,0,0
/ladies-c3/ashwood-large-leather-holdall-cognac-fe-06-p6743/s20073,115,106,81,0.7652173913043478,0.23478260869565218,62.19130434782609,2,354.74
/ladies-c3/ashwood-large-leather-holdall-tan-g-30-p6230/s19035,115,106,81,0.6347826086956522,0.3652173913043478,47.052173913043475,0,0
