Target page,Incoming links,Linking sites,Type
sheepskin-fur-c5/ladies-sheepskin-jackets-c13/short-oversize-sheepskin-aviator-flying-jacket-brown-cream-wynter-p2977,1,1,Product
mens-c4/leather-weekend-holdall-dk-brown-dr-bag-p6225,1,1,Product
mens-c4/man-bags-briefcases-c12/flight-bags-c118/a4-leather-messenger-bag-brown-jp-body-bag-p3671,1,1,Product
luggage-c7/manbags-briefcases-c64/leather-vintage-medium-flight-shoulder-bag-brandy-f-82-p2390,1,1,Product
mens-c4/man-bags-briefcases-c12/mens-triple-gusset-heavy-duty-leather-briefcase-mud-mud-gareth-p147,1,1,Product
luggage-c7/backpacks-rucksacks-c52/large-waxy-leather-backpack-brown-tommy-p6989,1,1,Product
mens-c4/classic-sheepskin-leather-pilot-hat-black-belmont-p3190,1,1,Product
ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-red-lola-p3946,1,1,Product
ladies-c3/skirts-jeans-c74/jeans-trousers-c128/womens-snake-print-leather-trousers-black-croc-766-p3331,1,1,Product
mens-c4/leather-jackets-c25/biker-styles-c97/mens-side-zip-leather-biker-jacket-cognac-harley-p7080,1,1,Product
mens-c4/leather-jackets-c25/biker-styles-c97/monomoi-mens-leather-biker-jacket-black-norman-p7575,1,1,Product
ladies-c3/leather-jackets-c9/biker-styles-c78/womens-fashion-leather-biker-style-jacket-beige-1127-p7114,1,1,Product
ladies-c3/skirts-jeans-c74/jeans-trousers-c128/womens-flared-60s-suede-leather-jeans-beige-suede-flared-3587-p3327,1,1,Product
gift-accessories-c8/wallets-c16/ashwood-vintage-dipped-9-card-bill-fold-leather-wallet-rust-1775-p895,1,1,Product
mens-c4/leather-jackets-c25/leather-jacket-nevada-timber-edinburgh-p235,1,1,Product
gift-accessories-c8/wallets-c16/ashwood-leather-travel-wallet-chestnut-tw-01-p1358,1,1,Product
mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/14-inch-vegetable-tanned-leather-satchel-chestnut-vt-josh-p3342,1,1,Product
ladies-c3/handbags-c10/ashwood-two-sections-shoulder-bag-burgundy-aw0022-p5310,1,1,Product
mens-c4/ashwood-leather-travel-flight-bag-brown-k-42-p7321,1,1,Product
