Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1244,1025,895,707,0.57,35.87,3,457.0
/gift-accessories-c8/footwear-c39,1020,908,758,0.64,68.47,9,313.39
/ladies-c3/purses-c22/vintage-woven-leather-medium-18-card-purse-turquise-d-83-p6365/s19315,1017,954,842,0.59,44.02,14,299.84
/ladies-c3/womens-luxury-shearling-jacket-tobacco-cream-alayna-p4364/s15160,1015,812,681,0.48,23.75,0,0.0
/ladies-c3/leather-jackets-c9/red-t11,1009,956,889,0.69,43.06,9,1040.82
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233/s1241,1006,907,724,0.63,53.63,1,149.0
/ladies-c3/ladies-classic-leather-biker-jacket-black-roisin-p4331/s15073,1003,959,899,0.4,26.78,5,407.0
/handbags-c6/ashwood-two-section-leather-tote-bag-teal-c-52-p5417/s16932,1002,861,724,0.63,51.59,9,464.93
/ladies-c3/ashwood-two-section-leather-tote-bag-green-c-52-p5415/s16930,996,847,705,0.57,39.83,14,742.88
/ladies-c3/ashwood-zip-top-leather-cross-body-bag-yellow-sb-buckle-p6064/s18623,992,919,838,0.67,57.37,18,569.73
/mens-c4/mens-nappa-leather-detachable-double-collar-jacket-cognac-trap-ryan-p5801/s17960,991,869,718,0.6,42.52,1,360.0
/mens-c4/leather-jackets-c25/leather-jacket-timber-edinburgh-p235/s1271,986,892,762,0.67,50.2,7,581.1
/checkout/success,972,708,2,0.4,12.98,229,6916.03
/ladies-c3/leather-jackets-c9/biker-styles-c78,972,824,503,0.55,87.75,4,395.65
/ladies-c3/leather-three-section-cross-body-bag-tan-63789-p6507/s19679,967,805,653,0.56,43.15,4,259.96
/mens-c4/leather-jackets-c25/size-5xl-t29,955,880,776,0.74,80.46,8,1383.0
/ladies-c3/14-card-rfid-protected-large-leather-purse-wood-rose-j-53-p5936/s18320,953,873,777,0.69,50.8,27,604.66
/about-us-i1,950,863,506,0.53,102.41,10,1419.85
/handbags-c6/ashwood-c30/ladies-michigan-large-leather-handbag-black-m-61-p3991/s14416,943,839,716,0.5,27.49,2,199.98
/ladies-c3/leather-jackets-c9/long-length-gothic-coat-black-trinity-p1251/s6394,938,846,734,0.6,37.62,3,465.49
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5018,937,868,806,0.65,52.75,0,0.0
/ladies-c3/accessories-c24/purses-c104/womens-vintage-wash-leather-wallet-purse-tan-g-41-p4073/s14534,935,833,690,0.61,54.82,16,534.78
/mens-c4/leather-jackets-c25/leather-biker-jacket-timber-bronx-p542/s3636,931,869,735,0.64,49.62,6,904.15
/sheepskin-fur-c5/ashwood-sheepskin-seat-pad-ivory-p4381/s15186,929,852,759,0.62,38.11,26,1058.6
/ladies-c3/ashwood-croc-print-leather-workbag-cognac-l-77-p6073/s18645,928,765,613,0.53,34.71,5,234.99
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17044,926,860,737,0.63,44.39,2,274.98
/ladies-c3/toscana-suede-leather-gilet-honey-kashmina-p6679/s19994,922,864,768,0.68,53.31,1,299.0
/mens-c4/leather-jackets-c25/leather-coat-black-brontes-p251/s1444,915,705,524,0.62,39.56,5,951.25
